-18.500,-1.2258,0.10236,
-18.250,-1.2456,0.09505,
-18.000,-1.2659,0.08782,
-17.750,-1.2852,0.08088,
-17.500,-1.3031,0.07429,
-17.250,-1.3193,0.06814,
-17.000,-1.3322,0.06256,
-16.750,-1.3427,0.05745,
-16.500,-1.3519,0.05263,
-16.250,-1.3687,0.04704,
-16.000,-1.3806,0.04234,
-15.750,-1.3868,0.03865,
-15.500,-1.3879,0.03577,
-15.250,-1.3854,0.03348,
-15.000,-1.3802,0.03160,
-14.750,-1.3739,0.02997,
-14.500,-1.3669,0.02849,
-14.250,-1.3590,0.02718,
-14.000,-1.3502,0.02602,
-13.750,-1.3399,0.02502,
-13.500,-1.3281,0.02416,
-13.250,-1.3149,0.02343,
-13.000,-1.3132,0.02207,
-12.750,-1.3004,0.02117,
-12.500,-1.2834,0.02049,
-12.250,-1.2649,0.01988,
-12.000,-1.2455,0.01931,
-11.750,-1.2250,0.01881,
-11.500,-1.2032,0.01839,
-11.250,-1.1872,0.01745,
-11.000,-1.1666,0.01690,
-10.750,-1.1449,0.01645,
-10.500,-1.1228,0.01602,
-10.250,-1.1000,0.01566,
-10.000,-1.0807,0.01499,
-9.750,-1.0591,0.01456,
-9.500,-1.0368,0.01423,
-9.250,-1.0143,0.01395,
-9.000,-0.9948,0.01341,
-8.750,-0.9735,0.01307,
-8.500,-0.9517,0.01279,
-8.250,-0.9313,0.01240,
-8.000,-0.9104,0.01209,
-7.750,-0.8888,0.01187,
-7.500,-0.8687,0.01149,
-7.250,-0.8475,0.01124,
-7.000,-0.8268,0.01095,
-6.750,-0.7975,0.01069,
-6.500,-0.7634,0.01034,
-6.250,-0.7289,0.01003,
-6.000,-0.6939,0.00973,
-5.750,-0.6601,0.00942,
-5.500,-0.6268,0.00911,
-5.000,-0.5571,0.00847,
-4.750,-0.5213,0.00816,
-4.500,-0.4903,0.00786,
-4.250,-0.4588,0.00756,
-4.000,-0.4276,0.00728,
-3.750,-0.4004,0.00705,
-3.500,-0.3730,0.00681,
-3.250,-0.3462,0.00659,
-3.000,-0.3201,0.00640,
-2.750,-0.2938,0.00623,
-2.500,-0.2675,0.00606,
-2.250,-0.2410,0.00593,
-2.000,-0.2144,0.00581,
-1.750,-0.1878,0.00570,
-1.500,-0.1611,0.00562,
-1.250,-0.1343,0.00556,
-1.000,-0.1075,0.00549,
-0.750,-0.0806,0.00546,
-0.500,-0.0538,0.00542,
-0.250,-0.0268,0.00541,
0.000,0.0000,0.00540,
0.250,0.0269,0.00541,
0.500,0.0538,0.00542,
0.750,0.0806,0.00546,
1.000,0.1075,0.00549,
1.250,0.1344,0.00555,
1.500,0.1611,0.00562,
1.750,0.1878,0.00570,
2.000,0.2144,0.00581,
2.250,0.2410,0.00593,
2.500,0.2675,0.00606,
2.750,0.2938,0.00623,
3.000,0.3201,0.00640,
3.250,0.3462,0.00659,
3.500,0.3730,0.00681,
3.750,0.4004,0.00705,
4.000,0.4276,0.00728,
4.250,0.4588,0.00756,
4.500,0.4903,0.00786,
4.750,0.5213,0.00816,
5.000,0.5572,0.00847,
5.500,0.6268,0.00911,
5.750,0.6601,0.00942,
6.000,0.6940,0.00972,
6.250,0.7290,0.01003,
6.500,0.7635,0.01034,
6.750,0.7976,0.01069,
7.000,0.8267,0.01095,
7.250,0.8474,0.01124,
7.500,0.8686,0.01149,
7.750,0.8887,0.01186,
8.000,0.9103,0.01208,
8.250,0.9312,0.01240,
8.500,0.9516,0.01279,
8.750,0.9734,0.01307,
9.000,0.9948,0.01341,
9.250,1.0143,0.01395,
9.500,1.0368,0.01423,
9.750,1.0591,0.01456,
10.000,1.0808,0.01499,
10.250,1.1001,0.01566,
10.500,1.1229,0.01602,
10.750,1.1450,0.01645,
11.000,1.1668,0.01690,
11.250,1.1874,0.01745,
11.500,1.2033,0.01840,
11.750,1.2251,0.01881,
12.000,1.2457,0.01931,
12.250,1.2651,0.01988,
12.500,1.2837,0.02049,
12.750,1.3008,0.02117,
13.000,1.3137,0.02207,
13.250,1.3157,0.02342,
13.500,1.3290,0.02415,
13.750,1.3406,0.02502,
14.000,1.3509,0.02602,
14.250,1.3600,0.02717,
14.500,1.3679,0.02848,
14.750,1.3750,0.02995,
15.000,1.3814,0.03158,
15.250,1.3864,0.03348,
15.500,1.3892,0.03575,
15.750,1.3881,0.03863,
16.000,1.3818,0.04235,
16.250,1.3702,0.04702,
16.500,1.3536,0.05261,
16.750,1.3451,0.05734,
17.000,1.3352,0.06237,
17.250,1.3218,0.06802,
17.500,1.3059,0.07416,
17.750,1.2880,0.08075,
18.000,1.2685,0.08773,
18.250,1.2485,0.09493,
18.500,1.2284,0.10229,
